cohort,contrast,estimate,se,conf_low,conf_high,df,m,within_variance,between_variance,estimand,estimate_type,risk_difference_percentage_points,risk_difference_ci_percentage_points
CHARLS,cancer_only_vs_neither,-0.070336422750053,0.027046077455093,-0.123345773177735,-0.0173270723223708,5054957.15089861,20,0.000730072141120979,1.35063293896135e-06,onset,marginal_standardized_risk_difference_logistic,-7.0336422750053,-7.0 (-12.3 to -1.7)
HRS,cancer_and_pain_vs_neither,0.105878466895721,0.0254681723788099,0.0559617662811849,0.155795167510257,5546447967762.86,20,0.000648626603809238,1.14334050954519e-09,persistence,marginal_standardized_risk_difference_logistic,10.5878466895721,10.6 (5.6 to 15.6)
HRS,cancer_and_pain_vs_cancer_only,0.0454129308414992,0.0390857633974824,-0.0311937577258283,0.122019619408827,11340198643847.9,20,0.00152769492292237,1.88327771693858e-09,persistence,marginal_standardized_risk_difference_logistic,4.54129308414992,4.5 (-3.1 to 12.2)
HRS,pain_only_vs_neither,0.0994349474881106,0.0162575650076948,0.0675707055954275,0.131299189380794,30065331399.6742,20,0.000264301775594235,6.32798589248498e-09,persistence,marginal_standardized_risk_difference_logistic,9.94349474881106,9.9 (6.8 to 13.1)
HRS,cancer_only_vs_neither,0.0604655360542217,0.0344386934956203,-0.00703306287180863,0.127964134980252,112351604118198,20,0.00118602312195413,4.6450585984745e-10,persistence,marginal_standardized_risk_difference_logistic,6.04655360542217,6.0 (-0.7 to 12.8)
SHARE,cancer_and_pain_vs_neither,0.112206188591862,0.0247898911301575,0.0636188947784912,0.160793482405233,3342618227.05599,20,0.000614492370074019,4.41258771814538e-08,persistence,marginal_standardized_risk_difference_logistic,11.2206188591862,11.2 (6.4 to 16.1)
SHARE,cancer_and_pain_vs_cancer_only,0.0758665181672629,0.0355757541743837,0.00613932125965193,0.145593715074874,28431507610.15,20,0.00126560156720133,3.11598808129838e-08,persistence,marginal_standardized_risk_difference_logistic,7.58665181672629,7.6 (0.6 to 14.6)
SHARE,pain_only_vs_neither,0.085971714933413,0.0159257123312597,0.054757892333498,0.117185537533328,15108330007.2622,20,0.000253619318980123,8.56597896610717e-09,persistence,marginal_standardized_risk_difference_logistic,8.5971714933413,8.6 (5.5 to 11.7)
SHARE,cancer_only_vs_neither,0.0363396704245994,0.0313692637751736,-0.0251429567966826,0.0978222976458813,183901952684.491,20,0.000984020707671316,9.52583343345758e-09,persistence,marginal_standardized_risk_difference_logistic,3.63396704245994,3.6 (-2.5 to 9.8)
CHARLS,cancer_and_pain_vs_neither,0.030067937567585,0.062362810986093,-0.0921609315170739,0.152296806652244,26525945.3852004,20,0.00388582870264523,3.13475375421683e-06,persistence,marginal_standardized_risk_difference_logistic,3.0067937567585,3.0 (-9.2 to 15.2)
CHARLS,cancer_and_pain_vs_cancer_only,0.199845192385092,0.0925312849231159,0.0184872039472684,0.381203180822917,86240936.29292,20,0.00855801988155166,3.8274361630363e-06,persistence,marginal_standardized_risk_difference_logistic,19.9845192385092,20.0 (1.8 to 38.1)
CHARLS,pain_only_vs_neither,0.070216409339671,0.0105972624171524,0.0494461451513366,0.0909866735280055,2183015.23998605,20,0.000111970659784581,3.15534241342202e-07,persistence,marginal_standardized_risk_difference_logistic,7.0216409339671,7.0 (4.9 to 9.1)
CHARLS,cancer_only_vs_neither,-0.169777254817507,0.0708289787995495,-0.308599507120196,-0.0309550025148187,35050445.8920797,20,0.00501305061970696,3.51773150483338e-06,persistence,marginal_standardized_risk_difference_logistic,-16.9777254817507,-17.0 (-30.9 to -3.1)
