"contrast","log_rr","variance","imputation"
"cancer_and_pain_vs_neither",0.222952377191916,0.00241314697587751,12
"cancer_and_pain_vs_cancer_only",0.0861682591916523,0.00623568843685089,12
"pain_only_vs_neither",0.2163875106505,0.00130574664125764,12
"cancer_only_vs_neither",0.136784118000264,0.00542890247984658,12
"pain_only_vs_cancer_only",0.0796033926502356,0.00509683354116009,12
"cancer_and_pain_vs_neither",0.223030882821555,0.00241283091276437,13
"cancer_and_pain_vs_cancer_only",0.0862314534335284,0.00623708615452918,13
"pain_only_vs_neither",0.216379525564789,0.00130087478878158,13
"cancer_only_vs_neither",0.136799429388027,0.00542972926883329,13
"pain_only_vs_cancer_only",0.0795800961767627,0.00510083478602621,13
"cancer_and_pain_vs_neither",0.22289275793027,0.00241338054038382,14
"cancer_and_pain_vs_cancer_only",0.086122898955889,0.00623602693922137,14
"pain_only_vs_neither",0.216414965102856,0.00130141757294821,14
"cancer_only_vs_neither",0.136769858974381,0.00543033567479686,14
"pain_only_vs_cancer_only",0.0796451061284742,0.00510040927651238,14
"cancer_and_pain_vs_neither",0.223034267536411,0.00241328261660991,15
"cancer_and_pain_vs_cancer_only",0.0862171328395626,0.00623646793564159,15
"pain_only_vs_neither",0.216370096757532,0.00130378935034413,15
"cancer_only_vs_neither",0.136817134696848,0.00542880299146732,15
"pain_only_vs_cancer_only",0.0795529620606832,0.00509654751228608,15
"cancer_and_pain_vs_neither",0.222844170593196,0.00241365238675187,16
"cancer_and_pain_vs_cancer_only",0.0861149802377195,0.00623614750703544,16
"pain_only_vs_neither",0.216434114846321,0.00130147926290974,16
"cancer_only_vs_neither",0.136729190355476,0.00543003116985985,16
"pain_only_vs_cancer_only",0.0797049244908445,0.0051002134589821,16
"cancer_and_pain_vs_neither",0.222983035450624,0.0024134667524559,17
"cancer_and_pain_vs_cancer_only",0.0861624013580099,0.00623820728756351,17
"pain_only_vs_neither",0.216358536789428,0.00130076224515089,17
"cancer_only_vs_neither",0.136820634092614,0.00542958686599433,17
"pain_only_vs_cancer_only",0.0795379026968138,0.00510203128105745,17
"cancer_and_pain_vs_neither",0.222933672799224,0.00241308448583674,18
"cancer_and_pain_vs_cancer_only",0.0862396840691097,0.00623426663627344,18
"pain_only_vs_neither",0.216502611087641,0.00130559028202123,18
"cancer_only_vs_neither",0.136693988730114,0.00542837505513016,18
"pain_only_vs_cancer_only",0.0798086223575268,0.00509627021531759,18
"cancer_and_pain_vs_neither",0.223012495302786,0.00241442401800263,19
"cancer_and_pain_vs_cancer_only",0.0861474946239112,0.00623885159670306,19
"pain_only_vs_neither",0.216281354431732,0.00130467593291002,19
"cancer_only_vs_neither",0.136865000678875,0.00542904161833356,19
"pain_only_vs_cancer_only",0.0794163537528567,0.00509847631349593,19
"cancer_and_pain_vs_neither",0.222907801679509,0.00241400229191123,20
"cancer_and_pain_vs_cancer_only",0.086150047737843,0.00623663101430043,20
"pain_only_vs_neither",0.216338935618504,0.00130193042997332,20
"cancer_only_vs_neither",0.136757753941666,0.00543084101293091,20
"pain_only_vs_cancer_only",0.0795811816768375,0.00510157033857367,20
