"imputation","contrast","estimate","variance"
18,"cancer_and_pain_vs_neither",0.0290064319777972,3.79477032210033e-05
18,"cancer_and_pain_vs_cancer_only",0.0237908635408188,4.67801974607832e-05
18,"pain_only_vs_neither",0.0293280503295411,1.29558202462567e-05
18,"cancer_only_vs_neither",0.00521556843697835,2.22521540198202e-05
18,"pain_only_vs_cancer_only",0.0241124818925628,3.19753930540794e-05
19,"cancer_and_pain_vs_neither",0.0290142187414928,3.79300185778697e-05
19,"cancer_and_pain_vs_cancer_only",0.0237988233598823,4.67711098899888e-05
19,"pain_only_vs_neither",0.0293172826843998,1.29676631188853e-05
19,"cancer_only_vs_neither",0.00521539538161057,2.22536702405297e-05
19,"pain_only_vs_cancer_only",0.0241018873027892,3.20023051021303e-05
20,"cancer_and_pain_vs_neither",0.0290174512279063,3.79244858024643e-05
20,"cancer_and_pain_vs_cancer_only",0.0238093919774435,4.67506282056747e-05
20,"pain_only_vs_neither",0.0293235555584352,1.2964756407801e-05
20,"cancer_only_vs_neither",0.00520805925046278,2.22405474902382e-05
20,"pain_only_vs_cancer_only",0.0241154963079725,3.19568609458587e-05
