"contrast","log_rr","variance","imputation"
"cancer_only_vs_neither",0.0820958191917101,0.0051409567979502,15
"pain_only_vs_cancer_only",0.310602241331854,0.00630762019422239,15
"cancer_and_pain_vs_neither",0.389130821677826,0.00498786656136584,16
"cancer_and_pain_vs_cancer_only",0.307085480896869,0.00754399082821849,16
"pain_only_vs_neither",0.392580895531958,0.00209391566247486,16
"cancer_only_vs_neither",0.0820453407809569,0.00514085091817468,16
"pain_only_vs_cancer_only",0.310535554751001,0.00630964530021001,16
"cancer_and_pain_vs_neither",0.3892629099233,0.00498962848644095,17
"cancer_and_pain_vs_cancer_only",0.307122249672998,0.00753972494867852,17
"pain_only_vs_neither",0.392672725147906,0.00209922122132247,17
"cancer_only_vs_neither",0.0821406602503026,0.00513983696267084,17
"pain_only_vs_cancer_only",0.310532064897603,0.00630724915739967,17
"cancer_and_pain_vs_neither",0.389042515477603,0.00499394066321496,18
"cancer_and_pain_vs_cancer_only",0.306992157100794,0.00754308414871876,18
"pain_only_vs_neither",0.392609692251434,0.00209646404419298,18
"cancer_only_vs_neither",0.0820503583768086,0.00514072748823063,18
"pain_only_vs_cancer_only",0.310559333874625,0.00630735670995182,18
"cancer_and_pain_vs_neither",0.389113964867178,0.00498930485967099,19
"cancer_and_pain_vs_cancer_only",0.307069902032612,0.00754108701395543,19
"pain_only_vs_neither",0.392475297362612,0.00209830672962609,19
"cancer_only_vs_neither",0.0820440628345663,0.0051403809443654,19
"pain_only_vs_cancer_only",0.310431234528046,0.0063122572516876,19
"cancer_and_pain_vs_neither",0.389157828555929,0.00498846413079562,20
"cancer_and_pain_vs_cancer_only",0.307222629670879,0.00753788735568354,20
"pain_only_vs_neither",0.392552760256584,0.00209789058552261,20
"cancer_only_vs_neither",0.0819351988850505,0.00513870864159564,20
"pain_only_vs_cancer_only",0.310617561371533,0.00630511672171049,20
