cohort,estimand,modifier_name,modifier_level,contrast,log_rr,se,rr,conf_low,conf_high
SHARE,onset,sex,male,cancer_and_pain_vs_cancer_only,0.311914860632963,0.15769270941426,1.36603838443493,1.00284687422828,1.86076350807354
SHARE,onset,sex,female,cancer_and_pain_vs_cancer_only,0.0448725942013701,0.11197971981062,1.04589459838316,0.839789827652986,1.30258247350323
SHARE,onset,sex,male,pain_only_vs_neither,0.175527448341076,0.0762595582975686,1.19187470318565,1.02640402994337,1.38402156134585
SHARE,onset,sex,female,pain_only_vs_neither,0.281093815181783,0.0511141351902031,1.32457786361951,1.19830966480988,1.46415118588664
SHARE,onset,sex,male,cancer_only_vs_neither,0.0374940965755194,0.134982044253366,1.0382058680938,0.796868307803858,1.3526343236249
SHARE,onset,sex,female,cancer_only_vs_neither,0.230501375874687,0.0958803644999159,1.25923119982881,1.04349881781447,1.51956397798644
SHARE,onset,age_group,age_50_64,cancer_and_pain_vs_neither,0.5429887036781,0.128916777239924,1.72114316983302,1.33685048518634,2.21590510224481
SHARE,onset,age_group,age_65_plus,cancer_and_pain_vs_neither,0.140232771485549,0.0704400539159465,1.15054158096299,1.0021751649877,1.32087281322827
SHARE,onset,age_group,age_50_64,cancer_and_pain_vs_cancer_only,0.171949755096512,0.185930667264439,1.18761815995495,0.824920998717226,1.70978420484877
SHARE,onset,age_group,age_65_plus,cancer_and_pain_vs_cancer_only,0.131126169188057,0.100696065833116,1.14011161919513,0.935911373677344,1.38886495108657
SHARE,onset,age_group,age_50_64,pain_only_vs_neither,0.368132913016861,0.0795708524924709,1.44503409005093,1.23636658876499,1.68891940334229
SHARE,onset,age_group,age_65_plus,pain_only_vs_neither,0.120451848318048,0.0402255899276974,1.12800642425147,1.04248901847967,1.22053898947369
SHARE,onset,age_group,age_50_64,cancer_only_vs_neither,0.371038948581589,0.157243633862346,1.44923951811103,1.06486399780275,1.97236002455567
SHARE,onset,age_group,age_65_plus,cancer_only_vs_neither,0.00910660229749249,0.0852329798931589,1.00914819355601,0.853895064028624,1.19262907054727
HRS,persistence,sex,male,cancer_and_pain_vs_neither,0.27659823064443,0.0876829304194316,1.31863647686693,1.11042502224985,1.56588884731813
HRS,persistence,sex,female,cancer_and_pain_vs_neither,0.178337303076633,0.0591474196877476,1.19522840746898,1.06439918103901,1.34213833632073
HRS,persistence,sex,male,cancer_and_pain_vs_cancer_only,0.0959125135814296,0.131863862564383,1.10066276673817,0.849985568474587,1.42526952340833
HRS,persistence,sex,female,cancer_and_pain_vs_cancer_only,0.0731367107206735,0.0749973962371091,1.07587761086472,0.928805910679202,1.24623736805629
HRS,persistence,sex,male,pain_only_vs_neither,0.232310779835648,0.05985377765595,1.26151172031876,1.12187291174024,1.41853128268603
HRS,persistence,sex,female,pain_only_vs_neither,0.195617427073038,0.0446675820856153,1.21606158409074,1.11412637197894,1.32732319554971
HRS,persistence,sex,male,cancer_only_vs_neither,0.180685717063001,0.121705039141191,1.1980385970307,0.943789829004475,1.52077977094673
HRS,persistence,sex,female,cancer_only_vs_neither,0.105200592355959,0.0781810113153766,1.11093343276131,0.953103883834618,1.29489881738955
HRS,persistence,age_group,age_50_64,cancer_and_pain_vs_neither,0.289916094870238,0.0692090135987772,1.33631535960781,1.166804622637,1.53045223311504
HRS,persistence,age_group,age_65_plus,cancer_and_pain_vs_neither,0.132328350289331,0.0598765165943077,1.14148306403443,1.01508518415164,1.28361994226762
HRS,persistence,age_group,age_50_64,cancer_and_pain_vs_cancer_only,0.107875062746989,0.12923865811652,1.11390856801584,0.864652097330899,1.43501912703306
HRS,persistence,age_group,age_65_plus,cancer_and_pain_vs_cancer_only,0.0529975900011973,0.0952477620066795,1.05442710394824,0.874865959816787,1.270842127374
HRS,persistence,age_group,age_50_64,pain_only_vs_neither,0.260877784094397,0.0502975784814817,1.29806901105912,1.17620874945195,1.43255451743334
HRS,persistence,age_group,age_65_plus,pain_only_vs_neither,0.144140482993999,0.0482402633026299,1.15504636149883,1.05084153420243,1.26958447471746
HRS,persistence,age_group,age_50_64,cancer_only_vs_neither,0.182041032123249,0.130441438499185,1.19966341760719,0.929025130478797,1.54914250253192
HRS,persistence,age_group,age_65_plus,cancer_only_vs_neither,0.0793307602881337,0.0829151832278408,1.08256233148809,0.920185487318904,1.27359235470182
SHARE,persistence,sex,male,cancer_and_pain_vs_neither,0.247457677737365,0.0742963635277028,1.28076515635735,1.10720572995143,1.48153079537533
SHARE,persistence,sex,female,cancer_and_pain_vs_neither,0.184393609910947,0.0508855020406731,1.20248904156302,1.08834681189805,1.32860213240059
SHARE,persistence,sex,male,cancer_and_pain_vs_cancer_only,0.116628847999508,0.103654215895768,1.1237022879317,0.917108326769575,1.37683498780423
SHARE,persistence,sex,female,cancer_and_pain_vs_cancer_only,0.118229169383543,0.080596628367327,1.12550201241706,0.961041852961137,1.3181057370725
SHARE,persistence,sex,male,pain_only_vs_neither,0.169815225669787,0.059988734613154,1.18508585764319,1.05362802076234,1.33294527319968
SHARE,persistence,sex,female,pain_only_vs_neither,0.174575774482185,0.037973063917163,1.19074096674679,1.10533663631409,1.28274410103438
SHARE,persistence,sex,male,cancer_only_vs_neither,0.130828829737857,0.102500529554554,1.13977266942718,0.932329937653727,1.39337125786435
SHARE,persistence,sex,female,cancer_only_vs_neither,0.0661644405274039,0.0785589357589657,1.06840239137433,0.915936495998372,1.24624761092217
SHARE,persistence,age_group,age_50_64,cancer_and_pain_vs_neither,0.213164791005227,0.0852479267744907,1.23758857790631,1.04716019580167,1.46264677964731
SHARE,persistence,age_group,age_65_plus,cancer_and_pain_vs_neither,0.170863737385684,0.0407860055529834,1.18632908570497,1.09518646388969,1.28505669673009
SHARE,persistence,age_group,age_50_64,cancer_and_pain_vs_cancer_only,0.149002216618476,0.150909820523094,1.16067556198113,0.863487725326989,1.5601469721762
SHARE,persistence,age_group,age_65_plus,cancer_and_pain_vs_cancer_only,0.108058639492661,0.0676605382413609,1.11411307449647,0.975745408410769,1.27210226362801
SHARE,persistence,age_group,age_50_64,pain_only_vs_neither,0.229773533237182,0.0544857917582979,1.25831501113214,1.1308655847788,1.40012808644291
SHARE,persistence,age_group,age_65_plus,pain_only_vs_neither,0.11534291891519,0.030632705446481,1.12225821516412,1.05686176676111,1.19170126227874
SHARE,persistence,age_group,age_50_64,cancer_only_vs_neither,0.0641625743867505,0.143870120607504,1.06626573216886,0.804272062816437,1.41360450544094
SHARE,persistence,age_group,age_65_plus,cancer_only_vs_neither,0.0628050978930232,0.064975680008766,1.06481928348354,0.937494024715055,1.20943715542402
